,sentiwordnet_day_2020-3-1.csv,sentiwordnet_day_2020-3-2.csv,sentiwordnet_day_2020-3-3.csv,sentiwordnet_day_2020-3-4.csv,sentiwordnet_day_2020-3-5.csv,sentiwordnet_day_2020-3-6.csv,sentiwordnet_day_2020-3-7.csv,sentiwordnet_day_2020-3-8.csv,sentiwordnet_day_2020-3-9.csv,sentiwordnet_day_2020-3-10.csv,sentiwordnet_day_2020-3-11.csv,sentiwordnet_day_2020-3-12.csv,sentiwordnet_day_2020-3-13.csv,sentiwordnet_day_2020-3-14.csv,sentiwordnet_day_2020-3-15.csv,sentiwordnet_day_2020-3-16.csv,sentiwordnet_day_2020-3-17.csv,sentiwordnet_day_2020-3-18.csv,sentiwordnet_day_2020-3-19.csv,sentiwordnet_day_2020-3-20.csv,sentiwordnet_day_2020-3-21.csv,sentiwordnet_day_2020-3-22.csv,sentiwordnet_day_2020-3-23.csv,sentiwordnet_day_2020-3-24.csv,sentiwordnet_day_2020-3-25.csv,sentiwordnet_day_2020-3-26.csv,sentiwordnet_day_2020-3-27.csv,sentiwordnet_day_2020-3-28.csv,sentiwordnet_day_2020-3-29.csv,sentiwordnet_day_2020-3-30.csv,sentiwordnet_day_2020-3-31.csv,sentiwordnet_day_2020-4-1.csv,sentiwordnet_day_2020-4-2.csv,sentiwordnet_day_2020-4-3.csv,sentiwordnet_day_2020-4-4.csv,sentiwordnet_day_2020-4-5.csv,sentiwordnet_day_2020-4-6.csv,sentiwordnet_day_2020-4-7.csv,sentiwordnet_day_2020-4-8.csv,sentiwordnet_day_2020-4-9.csv,sentiwordnet_day_2020-4-10.csv,sentiwordnet_day_2020-4-11.csv,sentiwordnet_day_2020-4-12.csv,sentiwordnet_day_2020-4-13.csv,sentiwordnet_day_2020-4-14.csv,sentiwordnet_day_2020-4-15.csv,sentiwordnet_day_2020-4-16.csv,sentiwordnet_day_2020-4-17.csv,sentiwordnet_day_2020-4-18.csv,sentiwordnet_day_2020-4-19.csv,sentiwordnet_day_2020-4-20.csv,sentiwordnet_day_2020-4-21.csv,sentiwordnet_day_2020-4-22.csv,sentiwordnet_day_2020-4-23.csv,sentiwordnet_day_2020-4-24.csv,sentiwordnet_day_2020-4-25.csv,sentiwordnet_day_2020-4-26.csv,sentiwordnet_day_2020-4-27.csv,sentiwordnet_day_2020-4-28.csv,sentiwordnet_day_2020-4-29.csv,sentiwordnet_day_2020-4-30.csv,sentiwordnet_day_2020-5-1.csv,sentiwordnet_day_2020-5-2.csv,sentiwordnet_day_2020-5-3.csv,sentiwordnet_day_2020-5-4.csv,sentiwordnet_day_2020-5-5.csv,sentiwordnet_day_2020-5-6.csv,sentiwordnet_day_2020-5-7.csv,sentiwordnet_day_2020-5-8.csv,sentiwordnet_day_2020-5-9.csv,sentiwordnet_day_2020-5-10.csv,sentiwordnet_day_2020-5-11.csv,sentiwordnet_day_2020-5-12.csv,sentiwordnet_day_2020-5-13.csv,sentiwordnet_day_2020-5-14.csv,sentiwordnet_day_2020-5-15.csv,sentiwordnet_day_2020-5-16.csv,sentiwordnet_day_2020-5-17.csv,sentiwordnet_day_2020-5-18.csv,sentiwordnet_day_2020-5-19.csv,sentiwordnet_day_2020-5-20.csv,sentiwordnet_day_2020-5-21.csv,sentiwordnet_day_2020-5-22.csv,sentiwordnet_day_2020-5-23.csv,sentiwordnet_day_2020-5-24.csv,sentiwordnet_day_2020-5-25.csv,sentiwordnet_day_2020-5-26.csv,sentiwordnet_day_2020-5-27.csv,sentiwordnet_day_2020-5-28.csv,sentiwordnet_day_2020-5-29.csv,sentiwordnet_day_2020-5-30.csv,sentiwordnet_day_2020-5-31.csv,sentiwordnet_day_2020-6-1.csv,sentiwordnet_day_2020-6-2.csv,sentiwordnet_day_2020-6-3.csv,sentiwordnet_day_2020-6-4.csv,sentiwordnet_day_2020-6-5.csv,sentiwordnet_day_2020-6-6.csv,sentiwordnet_day_2020-6-7.csv,sentiwordnet_day_2020-6-8.csv,sentiwordnet_day_2020-6-9.csv,sentiwordnet_day_2020-6-10.csv,sentiwordnet_day_2020-6-11.csv,sentiwordnet_day_2020-6-12.csv,sentiwordnet_day_2020-6-13.csv,sentiwordnet_day_2020-6-14.csv,sentiwordnet_day_2020-6-15.csv,sentiwordnet_day_2020-6-16.csv,sentiwordnet_day_2020-6-17.csv,sentiwordnet_day_2020-6-18.csv,sentiwordnet_day_2020-6-19.csv,sentiwordnet_day_2020-6-20.csv,sentiwordnet_day_2020-6-21.csv,sentiwordnet_day_2020-6-22.csv,sentiwordnet_day_2020-6-23.csv,sentiwordnet_day_2020-6-24.csv,sentiwordnet_day_2020-6-25.csv,sentiwordnet_day_2020-6-26.csv,sentiwordnet_day_2020-6-27.csv,sentiwordnet_day_2020-6-28.csv,sentiwordnet_day_2020-6-29.csv,sentiwordnet_day_2020-6-30.csv,sentiwordnet_day_2020-7-1.csv,sentiwordnet_day_2020-7-2.csv,sentiwordnet_day_2020-7-3.csv,sentiwordnet_day_2020-7-4.csv,sentiwordnet_day_2020-7-5.csv,sentiwordnet_day_2020-7-6.csv,sentiwordnet_day_2020-7-7.csv,sentiwordnet_day_2020-7-8.csv,sentiwordnet_day_2020-7-9.csv,sentiwordnet_day_2020-7-10.csv,sentiwordnet_day_2020-7-11.csv,sentiwordnet_day_2020-7-12.csv,sentiwordnet_day_2020-7-13.csv,sentiwordnet_day_2020-7-14.csv,sentiwordnet_day_2020-7-15.csv,sentiwordnet_day_2020-7-16.csv,sentiwordnet_day_2020-7-17.csv,sentiwordnet_day_2020-7-18.csv,sentiwordnet_day_2020-7-19.csv,sentiwordnet_day_2020-7-20.csv,sentiwordnet_day_2020-7-21.csv,sentiwordnet_day_2020-7-22.csv,sentiwordnet_day_2020-7-23.csv,sentiwordnet_day_2020-7-24.csv,sentiwordnet_day_2020-7-25.csv,sentiwordnet_day_2020-7-26.csv,sentiwordnet_day_2020-7-27.csv,sentiwordnet_day_2020-7-28.csv,sentiwordnet_day_2020-7-29.csv,sentiwordnet_day_2020-7-30.csv,sentiwordnet_day_2020-7-31.csv,sentiwordnet_day_2020-8-1.csv,sentiwordnet_day_2020-8-2.csv,sentiwordnet_day_2020-8-3.csv,sentiwordnet_day_2020-8-4.csv,sentiwordnet_day_2020-8-5.csv,sentiwordnet_day_2020-8-6.csv,sentiwordnet_day_2020-8-7.csv,sentiwordnet_day_2020-8-8.csv,sentiwordnet_day_2020-8-9.csv,sentiwordnet_day_2020-8-10.csv,sentiwordnet_day_2020-8-11.csv,sentiwordnet_day_2020-8-12.csv,sentiwordnet_day_2020-8-13.csv,sentiwordnet_day_2020-8-14.csv,sentiwordnet_day_2020-8-15.csv,sentiwordnet_day_2020-8-16.csv,sentiwordnet_day_2020-8-17.csv,sentiwordnet_day_2020-8-18.csv,sentiwordnet_day_2020-8-19.csv,sentiwordnet_day_2020-8-20.csv,sentiwordnet_day_2020-8-21.csv,sentiwordnet_day_2020-8-22.csv,sentiwordnet_day_2020-8-23.csv,sentiwordnet_day_2020-8-24.csv,sentiwordnet_day_2020-8-25.csv,sentiwordnet_day_2020-8-26.csv,sentiwordnet_day_2020-8-27.csv,sentiwordnet_day_2020-8-28.csv,sentiwordnet_day_2020-8-29.csv
like,0.734627832,0.783171521,0.815426997,0.804177546,0.814917127,0.787292818,0.779605263,0.794721408,0.818181818,0.810752688,0.814196242,0.8296875,0.854938272,0.794361526,0.8,0.79109589,0.802107728,0.783157895,0.795081967,0.805474096,0.790182868,0.788550323,0.822119816,0.790510295,0.791744841,0.768090671,0.807929515,0.781538462,0.811871227,0.786038078,0.813632442,0.791946309,0.794258373,0.810471976,0.78802589,0.810385523,0.816882233,0.81483871,0.828419811,0.832802548,0.817486861,0.84625624,0.86612803,0.804218409,0.829122663,0.828490814,0.834747687,0.831364762,0.836680365,0.818888842,0.827666037,0.835372013,0.833484725,0.835604677,0.835811573,0.831678177,0.838443996,0.838575908,0.833244184,0.837262034,0.835696774,0.837215706,0.839403271,0.834548141,0.832506303,0.841216312,0.838605019,0.832559154,0.839453813,0.833268899,0.836683328,0.839586215,0.843136758,0.83502962,0.796975039,0.832520956,0.838869338,0.837690881,0.841351343,0.842118691,0.844414696,0.81728272,0.782341001,0.777675014,0.836872733,0.838875739,0.84726627,0.849330224,0.851923419,0.845399818,0.842070448,0.842688839,0.780903921,0.783705171,0.809847972,0.842924533,0.841500021,0.828661266,0.832800506,0.833390486,0.828433959,0.830385282,0.833415713,0.829147033,0.826288778,0.824320477,0.815602641,0.786134959,0.769096215,0.773922221,0.764864078,0.74566789,0.768720056,0.815834719,0.838791799,0.845309687,0.848971414,0.848646923,0.850529671,0.851633215,0.848913891,0.844927181,0.860518729,0.85759092,0.851735944,0.846654823,0.847291007,0.843918249,0.837942599,0.854716359,0.840245589,0.852184694,0.846647789,0.84939541,0.851600479,0.855610395,0.852700501,0.853041162,0.857753213,0.843548028,0.848725154,0.855954794,0.855857352,0.85686289,0.857921995,0.859856448,0.847284171,0.86334157,0.861868754,0.8573485,0.861951875,0.860701709,0.860192282,0.856610892,0.857763259,0.860185371,0.863115084,0.860005859,0.854463321,0.856425587,0.859271049,0.850259241,0.86002473,0.853668113,0.849811058,0.852265602,0.848478211,0.851476639,0.855251343,0.857260696,0.859144456,0.858292172,0.857862456,0.855385698,0.854105413,0.854595027,0.859626205,0.863310671,0.923251455,0.853376134,0.852346702,0.84773736
love,0.300970874,0.378640777,0.35261708,0.381201044,0.361878453,0.378453039,0.368421053,0.419354839,0.379220779,0.408602151,0.369519833,0.3765625,0.399691358,0.417910448,0.406493506,0.377853881,0.381733021,0.356842105,0.37397541,0.372434018,0.371511068,0.336103416,0.378801843,0.3652641,0.383677298,0.348735833,0.36123348,0.350769231,0.38028169,0.363553944,0.346850733,0.360738255,0.36523126,0.383480826,0.340614887,0.372934697,0.38665759,0.390967742,0.409787736,0.393842887,0.371715241,0.415973378,0.421876942,0.367565533,0.374140916,0.377937008,0.380946282,0.379284646,0.378593085,0.369971295,0.372115777,0.383724878,0.375962297,0.381968365,0.377968951,0.375762012,0.388819232,0.385640602,0.376567956,0.386906622,0.38836843,0.386545189,0.38429347,0.378514637,0.372311035,0.37825168,0.374587838,0.382638476,0.383469595,0.382335885,0.384061824,0.375906516,0.383558471,0.376109546,0.365686184,0.385269265,0.38539832,0.386107512,0.387810326,0.386800238,0.384557132,0.367895754,0.352097429,0.349459306,0.38672336,0.383458543,0.391840075,0.389773865,0.393010394,0.385833494,0.389064937,0.386959493,0.346333433,0.357427979,0.374210623,0.391915211,0.385348278,0.374846994,0.381275004,0.37734324,0.369768766,0.374797985,0.376279362,0.373701844,0.368393025,0.372567692,0.364044346,0.338573271,0.332569271,0.334058923,0.324922474,0.319094489,0.340918729,0.369074563,0.386335581,0.382553544,0.39110983,0.388710569,0.392212316,0.397618192,0.390013913,0.382318175,0.393121198,0.398451455,0.392819224,0.391242379,0.393961398,0.395415193,0.395113326,0.398467076,0.393995505,0.407650046,0.399771834,0.396206779,0.397239392,0.395476702,0.392412841,0.400208467,0.399691311,0.392332479,0.40211919,0.401775061,0.402937162,0.404345696,0.397660559,0.399960208,0.401164187,0.410932083,0.403795335,0.404454737,0.404713903,0.405017849,0.404748965,0.405475486,0.404011793,0.399608031,0.403608109,0.409163697,0.410287886,0.407846536,0.408574886,0.400058319,0.408581726,0.390419716,0.392922673,0.39623682,0.391111268,0.407145292,0.417613272,0.40878153,0.405594563,0.40246339,0.404388516,0.399330296,0.400936729,0.408133468,0.405680317,0.396454043,0.456249383,0.40158271,0.397211727,0.401103772
anticipation,0.757281553,0.815533981,0.790633609,0.806788512,0.825966851,0.817679558,0.776315789,0.782991202,0.844155844,0.817204301,0.816283925,0.8203125,0.885802469,0.839137645,0.842857143,0.847031963,0.844262295,0.837894737,0.81557377,0.839687195,0.820019249,0.8033241,0.822119816,0.82094897,0.836772983,0.814298169,0.82907489,0.788717949,0.818913481,0.834995467,0.824849008,0.814597315,0.816586922,0.828171091,0.824433657,0.839496459,0.836623553,0.849032258,0.85495283,0.843418259,0.839464883,0.858236273,0.876693599,0.826546987,0.860353664,0.868099738,0.877994537,0.870581746,0.863671417,0.860669221,0.869578668,0.8754823,0.874335148,0.875798904,0.870153704,0.866883651,0.873389573,0.874662658,0.871404136,0.875615903,0.874981734,0.871844653,0.873431537,0.872490541,0.867871895,0.87640461,0.873539326,0.872874469,0.875154382,0.865917936,0.868808615,0.87457614,0.874122939,0.864960668,0.796696669,0.85964143,0.868962641,0.869671864,0.876937665,0.876756507,0.87554624,0.842181555,0.787686062,0.787635174,0.86690719,0.868009102,0.877455071,0.875588751,0.879788557,0.874031332,0.871665199,0.869149941,0.795929362,0.794875762,0.826134056,0.868111643,0.862916396,0.846755525,0.853489183,0.858172763,0.849212331,0.855478257,0.854788664,0.849023396,0.837795859,0.838394085,0.834307016,0.798651076,0.778108495,0.781519318,0.772147602,0.748198037,0.768505058,0.828104485,0.861297211,0.868012341,0.871745783,0.872419747,0.866851213,0.870827131,0.873072871,0.870308005,0.881417048,0.881266613,0.876640806,0.861678847,0.866613914,0.867114591,0.865733366,0.8792159,0.873216102,0.879163756,0.864986656,0.86849378,0.873022799,0.87323022,0.87472033,0.878571526,0.879374345,0.871503789,0.874109499,0.880318642,0.879209487,0.877870322,0.875831397,0.87358475,0.860628661,0.879794438,0.884004299,0.879867402,0.878096977,0.881322675,0.883365505,0.872714689,0.875607391,0.882940046,0.88462865,0.88074989,0.872638409,0.871261418,0.867299649,0.862510286,0.879740075,0.879083651,0.87343854,0.876533712,0.871145184,0.865434013,0.870468291,0.881975371,0.879158517,0.879205832,0.877245672,0.870986768,0.865757791,0.868384558,0.877435295,0.872942078,0.950873039,0.872318877,0.865969409,0.85607567
hope,0.501618123,0.495145631,0.52892562,0.550913838,0.508287293,0.541436464,0.519736842,0.545454545,0.519480519,0.56344086,0.549060543,0.553125,0.563271605,0.56384743,0.583116883,0.550228311,0.56440281,0.570526316,0.578893443,0.549364614,0.54186718,0.545706371,0.542857143,0.549686661,0.547842402,0.566695728,0.538325991,0.533333333,0.556338028,0.538531278,0.561691113,0.560402685,0.56937799,0.566371681,0.551779935,0.553894571,0.555479918,0.582580645,0.602004717,0.591295117,0.580984233,0.619301165,0.654070851,0.579377474,0.583358946,0.589026247,0.596590181,0.586791204,0.612121148,0.58548622,0.587972859,0.594392895,0.589228577,0.591439532,0.586153967,0.590831811,0.606667484,0.593617285,0.582142059,0.589780503,0.594275138,0.598275966,0.602922468,0.597974315,0.58821281,0.598056908,0.593425645,0.590558214,0.596437956,0.596961262,0.595034682,0.589138661,0.597588556,0.595950277,0.546255915,0.59094129,0.592735695,0.599802473,0.606543461,0.599159667,0.596072037,0.576372531,0.54594046,0.538773478,0.600204928,0.594760614,0.603268328,0.594142788,0.60280295,0.598200727,0.606722565,0.604047223,0.542472314,0.552897856,0.566295316,0.599617611,0.591718098,0.586257512,0.59033642,0.592137492,0.579968678,0.589875467,0.587462444,0.581003376,0.573463596,0.5793134,0.576322072,0.545511853,0.532522096,0.533064264,0.523967623,0.507913477,0.531940913,0.574506396,0.596616862,0.595849426,0.605006381,0.602532106,0.600653501,0.609439967,0.606161987,0.600374691,0.608620329,0.608133914,0.598929524,0.594298865,0.602854838,0.593941188,0.587931639,0.607297522,0.598750129,0.604634332,0.602501681,0.612418292,0.612432163,0.616207671,0.611559169,0.617391986,0.611216259,0.613188099,0.619140256,0.616813849,0.618439773,0.616120951,0.614302691,0.606162532,0.599567068,0.618832024,0.618133686,0.6168835,0.614023746,0.615748165,0.612558331,0.60756742,0.61692056,0.617402113,0.608348663,0.608997705,0.61611736,0.605939749,0.610349312,0.602158612,0.613685512,0.626589415,0.62093545,0.620662359,0.610255957,0.613749958,0.622996926,0.63385951,0.620489964,0.615368614,0.615361618,0.615129232,0.615260025,0.614840361,0.614398943,0.617676465,0.675939627,0.605721446,0.609056767,0.605587806
joy,0.158576052,0.275080906,0.239669421,0.250652742,0.226519337,0.215469613,0.220394737,0.304985337,0.241558442,0.230107527,0.252609603,0.2484375,0.205246914,0.222222222,0.193506494,0.21803653,0.227166276,0.214736842,0.201844262,0.2228739,0.202117421,0.201292705,0.210138249,0.192479857,0.23358349,0.197907585,0.221145374,0.234871795,0.228370221,0.22030825,0.218291631,0.228187919,0.240829346,0.237463127,0.218446602,0.220298977,0.242341729,0.24516129,0.236438679,0.214437367,0.246536073,0.233943428,0.261031697,0.192398873,0.203372455,0.199,0.205943313,0.202645191,0.206188399,0.194747286,0.201387861,0.208077808,0.205364184,0.207300118,0.202324584,0.201546594,0.211885812,0.207444834,0.205553531,0.20978928,0.211715997,0.219030742,0.212080556,0.207554335,0.1984805,0.206503747,0.211111929,0.210659009,0.210677844,0.209544705,0.218811175,0.210227392,0.218763231,0.209459066,0.212582351,0.215934965,0.208829804,0.208407151,0.215234469,0.215363181,0.215243408,0.201364982,0.212246279,0.21457029,0.213401585,0.213977794,0.213976057,0.212705546,0.213361763,0.218826106,0.213411609,0.21837108,0.217270278,0.219853328,0.202929772,0.210104455,0.208671927,0.205252588,0.213443208,0.207846179,0.202193412,0.209041371,0.210075487,0.210867767,0.20615782,0.213084847,0.208907553,0.197487299,0.188138073,0.18867522,0.184564112,0.182264427,0.212348343,0.202987258,0.208317918,0.210770874,0.212623684,0.212256135,0.215986802,0.227392502,0.222553742,0.217311595,0.224579624,0.221850153,0.219471363,0.211737392,0.214612425,0.213997129,0.215322734,0.219664162,0.227108547,0.222666944,0.21707173,0.219890568,0.21493691,0.218923729,0.220018308,0.219762103,0.217892726,0.214174281,0.224545856,0.235974044,0.224920017,0.222211951,0.222543942,0.220561295,0.22038782,0.230616341,0.228959263,0.226360602,0.223205628,0.223732242,0.224671564,0.224142049,0.220778907,0.219297715,0.224012225,0.224351902,0.221749673,0.216676936,0.219433328,0.218297876,0.221514825,0.228850587,0.217535543,0.219800501,0.221031248,0.219885057,0.223788416,0.222211204,0.223385941,0.221434204,0.220743982,0.217354287,0.218083625,0.223102566,0.223411126,0.222422182,0.280753675,0.219056039,0.210474803,0.209765887
calmness,0.148867314,0.1197411,0.093663912,0.09921671,0.138121547,0.143646409,0.111842105,0.114369501,0.168831169,0.148387097,0.154488518,0.178125,0.174382716,0.147595357,0.14025974,0.156392694,0.152224824,0.141052632,0.158811475,0.134897361,0.148219442,0.147737765,0.138248848,0.128916741,0.149155722,0.134263296,0.126872247,0.134358974,0.131790744,0.155031732,0.132010354,0.137583893,0.128389155,0.142330383,0.156148867,0.149488592,0.146358067,0.158064516,0.156839623,0.168259023,0.159579551,0.163394343,0.17849596,0.152930533,0.158011676,0.158703412,0.159084505,0.15434287,0.162231542,0.153626795,0.159127377,0.165104078,0.1597389,0.158162312,0.158161013,0.154248071,0.156499855,0.159259835,0.162470757,0.158139891,0.158234158,0.158470678,0.160777471,0.157065509,0.154370742,0.163432899,0.160229201,0.159243805,0.158272248,0.155139308,0.153386823,0.16173363,0.162982316,0.162212295,0.134081841,0.150039635,0.158437051,0.15739077,0.159415103,0.16203115,0.163346465,0.148260554,0.135926928,0.131118384,0.155431667,0.158864762,0.163518426,0.162272648,0.163135217,0.160070563,0.157560819,0.160072084,0.132924274,0.131881053,0.143460331,0.159150781,0.157483379,0.151047728,0.149530501,0.15575332,0.151708919,0.15582902,0.157516504,0.153633294,0.148953024,0.151018632,0.148743656,0.1362909,0.127701612,0.129492282,0.123917391,0.118640795,0.122939033,0.148412589,0.159028722,0.161271767,0.1650164,0.164991984,0.159168983,0.159304793,0.161726032,0.162004594,0.167504843,0.166844771,0.165052868,0.159211854,0.162154782,0.163283065,0.162630971,0.169288459,0.167660513,0.167198444,0.164617923,0.164910095,0.162170242,0.166605508,0.163479232,0.16890916,0.168662077,0.161991123,0.165721002,0.170617901,0.175088649,0.177160368,0.169857753,0.170303021,0.163757413,0.174644039,0.174286908,0.169861272,0.168692163,0.168408584,0.165098671,0.163133807,0.163183571,0.165306569,0.16876006,0.171586193,0.164108356,0.165235674,0.160662372,0.159579142,0.164825971,0.166879763,0.162071358,0.165745365,0.160883927,0.161726931,0.161970459,0.168441123,0.168963559,0.169104094,0.170748059,0.165556835,0.166078632,0.162496664,0.171368462,0.169416117,0.226398343,0.16843334,0.161574179,0.158914204
surprise,0.035598706,0.012944984,0.011019284,0.023498695,0.022099448,0.008287293,0.006578947,0.014662757,0.020779221,0.010752688,0.012526096,0.0203125,0.018518519,0.011608624,0.01038961,0.01369863,0.012880562,0.016842105,0.006147541,0.015640274,0.021174206,0.012927054,0.014746544,0.011638317,0.015009381,0.013077594,0.021145374,0.022564103,0.018108652,0.018132366,0.021570319,0.013422819,0.012759171,0.019174041,0.025889968,0.025177026,0.013614704,0.009677419,0.020636792,0.017515924,0.02627807,0.018635607,0.020882536,0.020494415,0.017809398,0.017818898,0.017284301,0.017155745,0.017990514,0.018561726,0.017700556,0.017039903,0.017044375,0.017029891,0.017876725,0.017982425,0.018362044,0.017161348,0.016825764,0.016656803,0.016232891,0.016806159,0.017459037,0.017835367,0.016529424,0.017139783,0.016868168,0.016690078,0.017677598,0.018154463,0.017646063,0.01698949,0.01750323,0.016606779,0.018929201,0.017405677,0.017995319,0.018282056,0.017487707,0.017444479,0.017009998,0.016654587,0.019079838,0.020062607,0.018523482,0.016900507,0.017542517,0.016849987,0.017077559,0.018068769,0.018347271,0.019041274,0.018527387,0.019030232,0.01757863,0.016737801,0.016740015,0.017325146,0.017834455,0.016865339,0.016486185,0.016909456,0.016818357,0.017330154,0.017992851,0.018596408,0.017650656,0.017094083,0.01646919,0.016970915,0.016912318,0.016778015,0.017122862,0.016424293,0.016040234,0.016569426,0.017058476,0.0165912,0.017763557,0.017893503,0.017049613,0.017084105,0.016032957,0.017360374,0.017385288,0.017345662,0.018333023,0.017096092,0.015862694,0.016003212,0.015245741,0.016683344,0.017674741,0.018012405,0.016962254,0.017436349,0.017954725,0.016391209,0.01617597,0.017838571,0.017846046,0.016854655,0.016317967,0.016334492,0.015874142,0.016194666,0.016418671,0.017380068,0.016465541,0.017287651,0.016911537,0.016849722,0.016777863,0.017795086,0.018635488,0.016647037,0.017235763,0.017375384,0.01761231,0.017107589,0.017427936,0.018921812,0.01699508,0.015715451,0.017471447,0.016169846,0.015989825,0.01686216,0.017896422,0.015983629,0.015935537,0.016182326,0.017118292,0.016880547,0.017790639,0.018881452,0.017070307,0.017346531,0.015882411,0.016316336,0.01820458,0.017926288
